relative_path,source_url,sha256,size_bytes,date_obs,wavelength_angstrom,shape_y,shape_x,exptime_s,wcs_valid
2017-04-01/0171/aia_synoptic.0171.20170401_215000.fits,https://sdo.oma.be/data/aia_synoptic/0171/2017/04/01/aia_synoptic.0171.20170401_215000.fits,2ae4fe141ca1817999e7c9314845395b1ffe5e2f930fa732bd701c27c7a2b18a,1195200,2017-04-01T21:50:09.340000Z,171,1024,1024,2.000169,true
2017-04-01/0171/aia_synoptic.0171.20170401_215200.fits,https://sdo.oma.be/data/aia_synoptic/0171/2017/04/01/aia_synoptic.0171.20170401_215200.fits,f93389fb896b39e09d87a72eb063ea98edc6681414c7dc6df9fb1b14cae5b492,1195200,2017-04-01T21:52:09.350000Z,171,1024,1024,2.000169,true
2017-04-01/0171/aia_synoptic.0171.20170401_215400.fits,https://sdo.oma.be/data/aia_synoptic/0171/2017/04/01/aia_synoptic.0171.20170401_215400.fits,414f38a55813bebff4eb873c774aa8e56c86b764b07d281a67a1947fadcaf16a,1195200,2017-04-01T21:54:09.350000Z,171,1024,1024,2.000168,true
2017-04-01/0171/aia_synoptic.0171.20170401_215600.fits,https://sdo.oma.be/data/aia_synoptic/0171/2017/04/01/aia_synoptic.0171.20170401_215600.fits,0e061b69a480a89381edf0c2d2d524eca9dbf5f22e12c5d6b2a2f316679ca519,1195200,2017-04-01T21:56:09.350000Z,171,1024,1024,2.000168,true
2017-04-01/0171/aia_synoptic.0171.20170401_215800.fits,https://sdo.oma.be/data/aia_synoptic/0171/2017/04/01/aia_synoptic.0171.20170401_215800.fits,cc417f7a4dfadf764468793b0ecd0e9ecfeb059b01d223e6db4a4a72038a35dc,1195200,2017-04-01T21:58:09.350000Z,171,1024,1024,2.000167,true
2017-04-01/0171/aia_synoptic.0171.20170401_220000.fits,https://sdo.oma.be/data/aia_synoptic/0171/2017/04/01/aia_synoptic.0171.20170401_220000.fits,2a132f81fb863e89c1dc37dc0a28bb36d7953b384cb5039c4fb9198f49d6851a,1195200,2017-04-01T22:00:09.350000Z,171,1024,1024,2.000166,true
2017-04-01/0171/aia_synoptic.0171.20170401_220200.fits,https://sdo.oma.be/data/aia_synoptic/0171/2017/04/01/aia_synoptic.0171.20170401_220200.fits,e7fef70b389d515dfe9cacc517cdef5fef7895355dc2ea046a48747f2525b441,1195200,2017-04-01T22:02:09.350000Z,171,1024,1024,2.000151,true
2017-04-01/0171/aia_synoptic.0171.20170401_220400.fits,https://sdo.oma.be/data/aia_synoptic/0171/2017/04/01/aia_synoptic.0171.20170401_220400.fits,c67a6230ec3a91a17f80dbc02b9c87c1fa4d1d0fb82d4b75ec22d202f332ad60,1195200,2017-04-01T22:04:09.350000Z,171,1024,1024,2.00017,true
2017-04-01/0171/aia_synoptic.0171.20170401_220600.fits,https://sdo.oma.be/data/aia_synoptic/0171/2017/04/01/aia_synoptic.0171.20170401_220600.fits,0784b426b8f34c4efe5a1122d8c3db4697c728af7493d4091eb6dbd44461e14b,1195200,2017-04-01T22:06:09.350000Z,171,1024,1024,2.000171,true
2017-04-01/0171/aia_synoptic.0171.20170401_220800.fits,https://sdo.oma.be/data/aia_synoptic/0171/2017/04/01/aia_synoptic.0171.20170401_220800.fits,79a2b4139e61e5366ced7592a728e4dff1d17ed3ab0ef9d0247acc27229862cd,1192320,2017-04-01T22:08:09.350000Z,171,1024,1024,2.000172,true
2017-04-01/0171/aia_synoptic.0171.20170401_221200.fits,https://sdo.oma.be/data/aia_synoptic/0171/2017/04/01/aia_synoptic.0171.20170401_221200.fits,6b10ccb7e3fdc65a6172759ff0522d2a7e1a74547ad0084ee8887e05c964ef20,1192320,2017-04-01T22:12:09.350000Z,171,1024,1024,2.000168,true
