log10_temperature_K,AIA_94_DN_cm5_s-1_pix-1,AIA_131_DN_cm5_s-1_pix-1,AIA_171_DN_cm5_s-1_pix-1,AIA_193_DN_cm5_s-1_pix-1,AIA_211_DN_cm5_s-1_pix-1,AIA_335_DN_cm5_s-1_pix-1
6.55000,5.056421628e-28,3.961865236e-28,1.283737815e-27,5.314641970e-27,4.445150333e-27,9.510064983e-28
6.60000,8.084585650e-28,3.609213266e-28,9.545647132e-28,4.975736198e-27,2.907020274e-27,7.677132210e-28
6.65000,1.238160161e-27,3.352600134e-28,8.717843274e-28,5.050040078e-27,2.362654032e-27,6.007868013e-28
6.70000,1.776110710e-27,3.296301272e-28,7.483535744e-28,5.493473193e-27,2.027503610e-27,4.534473453e-28
6.75000,2.359016760e-27,3.711917097e-28,5.793871473e-28,5.551771665e-27,1.583299803e-27,3.281134103e-28
6.80000,2.865705152e-27,5.402088680e-28,4.427716592e-28,4.725003758e-27,1.113648272e-27,2.275201437e-28
6.85000,3.132989009e-27,1.038404138e-27,3.668721349e-28,3.496312297e-27,7.653428977e-28,1.551036669e-28
6.90000,3.016639231e-27,2.220078441e-27,3.380166411e-28,2.452625062e-27,5.474501567e-28,1.162128603e-28
6.95000,2.491633216e-27,4.364963694e-27,3.376958718e-28,1.839277973e-27,4.140585859e-28,1.133395571e-28
7.00000,1.713185341e-27,7.035553976e-27,3.403870266e-28,1.940342206e-27,3.342944048e-28,1.353441496e-28
7.05000,9.571111981e-28,8.706491210e-27,3.241327689e-28,3.456570623e-27,2.939022626e-28,1.521595904e-28
7.10000,4.334653445e-28,8.027429808e-27,2.895180701e-28,6.909222833e-27,2.789907865e-28,1.369577958e-28
7.15000,1.699613989e-28,5.644672067e-27,2.540314747e-28,1.115541309e-26,2.733112022e-28,9.680830772e-29
7.20000,6.887590432e-29,3.296232344e-27,2.279379082e-28,1.410463008e-26,2.660482596e-28,5.808496931e-29
7.25000,3.616679920e-29,1.790110444e-27,2.098872575e-28,1.497255571e-26,2.547551620e-28,3.322985963e-29
7.30000,2.606355749e-29,9.948428973e-28,1.962880529e-28,1.432914941e-26,2.412357961e-28,1.996871465e-29
7.35000,2.268569105e-29,5.997586659e-28,1.851156642e-28,1.295023648e-26,2.273671635e-28,1.324881251e-29
7.40000,2.125633003e-29,4.007014813e-28,1.755027133e-28,1.134780309e-26,2.141180306e-28,9.756643745e-30
7.45000,2.041278113e-29,2.949054483e-28,1.669985111e-28,9.759959344e-27,2.017486060e-28,7.818652503e-30
7.50000,1.975617368e-29,2.345727588e-28,1.593341356e-28,8.289693099e-27,1.902787344e-28,6.651863385e-30
7.55000,1.916526758e-29,1.975121468e-28,1.523197752e-28,6.963543029e-27,1.796650598e-28,5.889419923e-30
7.60000,1.860118206e-29,1.731302850e-28,1.458179519e-28,5.777592029e-27,1.698043003e-28,5.353852318e-30
7.65000,1.805187381e-29,1.560817571e-28,1.397437915e-28,4.727587991e-27,1.606548625e-28,4.953950965e-30
7.70000,1.751274075e-29,1.435450391e-28,1.340272214e-28,3.799533884e-27,1.521641195e-28,4.640143267e-30
7.75000,1.698292666e-29,1.339171254e-28,1.286366182e-28,2.994422998e-27,1.443258908e-28,4.383628407e-30
7.80000,1.646208503e-29,1.262449249e-28,1.235427973e-28,2.308871069e-27,1.371278487e-28,4.166736786e-30
7.85000,1.595024564e-29,1.199236232e-28,1.187264130e-28,1.741659593e-27,1.305529672e-28,3.978106061e-30
7.90000,1.544752583e-29,1.145506360e-28,1.141691969e-28,1.288660246e-27,1.245675667e-28,3.810055716e-30
7.95000,1.495389215e-29,1.098406551e-28,1.098502932e-28,9.417946838e-28,1.191165503e-28,3.657111685e-30
8.00000,1.446905520e-29,1.055917398e-28,1.057427640e-28,6.870765440e-28,1.141215749e-28,3.515283929e-30
8.05000,1.399339822e-29,1.016659884e-28,1.018217347e-28,5.072541690e-28,1.095055210e-28,3.381869903e-30
8.10000,1.352683012e-29,9.796680089e-29,9.806405659e-29,3.844503277e-28,1.051920064e-28,3.254875362e-30
8.15000,1.306995470e-29,9.443660335e-29,9.444971216e-29,3.024490123e-28,1.011225232e-28,3.133142873e-30
8.20000,1.262311940e-29,9.103996443e-29,9.096380635e-29,2.482599897e-28,9.725165224e-29,3.015915345e-30
8.25000,1.218713053e-29,8.776013879e-29,8.759927945e-29,2.123262006e-28,9.355153760e-29,2.902854256e-30
8.30000,1.176291495e-29,8.459095008e-29,8.435352257e-29,1.879989758e-28,9.000572359e-29,2.793845975e-30
8.35000,1.135086607e-29,8.152776450e-29,8.122271001e-29,1.710028310e-28,8.660122601e-29,2.688752604e-30
8.40000,1.095166138e-29,7.857082421e-29,7.820632437e-29,1.585509166e-28,8.333156751e-29,2.587557498e-30
8.45000,1.056488371e-29,7.571377300e-29,7.529676111e-29,1.489365746e-28,8.018471770e-29,2.490019886e-30
8.50000,1.018946505e-29,7.294609625e-29,7.248232526e-29,1.410975657e-28,7.714580354e-29,2.395787999e-30
8.55000,9.644096149e-30,6.897641442e-29,6.848844886e-29,1.319991023e-28,7.286258489e-29,2.262952364e-30
8.60000,9.275969735e-30,6.628451419e-29,6.576586608e-29,1.258893325e-28,6.993526875e-29,2.172069947e-30
8.65000,8.918752425e-30,6.367440977e-29,6.313148640e-29,1.203061383e-28,6.710508465e-29,2.084181364e-30
8.70000,8.572332834e-30,6.114971723e-29,6.058591963e-29,1.151113269e-28,6.437323436e-29,1.999346381e-30
8.75000,8.236749534e-30,5.870694891e-29,5.812693888e-29,1.102165428e-28,6.173590871e-29,1.917453059e-30
8.80000,7.911913336e-30,5.634752618e-29,5.575372678e-29,1.055698218e-28,5.919313524e-29,1.838499379e-30
8.85000,7.597588498e-30,5.406590160e-29,5.346247882e-29,1.011322017e-28,5.673966609e-29,1.762312007e-30
8.90000,7.293526507e-30,5.186313592e-29,5.125250151e-29,9.688269975e-29,5.437504693e-29,1.688889271e-30
8.95000,6.999643511e-30,4.973741845e-29,4.912254940e-29,9.280674901e-29,5.209709044e-29,1.618167022e-30
9.00000,6.715647796e-30,4.768787701e-29,4.707046692e-29,8.889293746e-29,4.990401499e-29,1.550086000e-30
